label,path,target_voxels,pockets,driftcheck,planned_voxels,placed_voxels,samples,frame_p50_ms,frame_p99_ms,frame_mean_ms,submit_p50_ms,submit_p99_ms,submit_mean_ms,pump_p50_ms,pump_p99_ms,pump_mean_ms,live_slots_mean,live_slots_min,live_slots_max,dispatch_cells_mean,active_tiles_mean,voxel_writes,ops_total,slots_ever,dense_region_cells,dense_region_dims,readback_errors,stale_ops,nonresident_ops
dense_v500,dense,500,1,0,512,729,180,7.8497,33.6089,14.4210,0.0005,0.1658,0.0434,0.0006,0.6941,0.1213,2186,2179,2187,524288,0,39014,24952,2187,524288,64x128x64,0,0,0
tiled_v500,tiled,500,1,0,512,729,180,7.6982,31.5355,13.3628,0.0005,2.3978,0.7039,0.0007,0.8161,0.1293,2186,2181,2187,7330747,223,39240,25054,2187,0,tiled,0,0,0
dense_v2000,dense,2000,1,0,2197,2744,180,7.9968,30.6950,14.1446,0.0005,0.3713,0.0930,0.0006,2.3476,0.4006,8203,7700,8232,524288,0,150894,91952,8232,524288,64x128x64,0,0,0
tiled_v2000,tiled,2000,1,0,2197,2744,180,7.8942,27.3063,13.2734,0.0004,2.5937,0.7439,0.0007,2.6559,0.4358,8198,7700,8229,7405568,226,151510,92266,8229,0,tiled,0,0,0
dense_v8000,dense,8000,1,0,8000,9261,180,9.7843,43.2962,18.7561,0.0005,1.0255,0.2402,0.0006,7.7335,1.3422,26969,22137,27405,2097152,0,523674,303449,27405,2097152,128x128x128,0,0,0
tiled_v8000,tiled,8000,1,0,8000,9261,180,9.6840,27.1809,14.0683,0.0005,2.6904,0.8785,0.0006,7.8101,1.3460,26929,22020,27356,7405568,226,519968,301368,27356,0,tiled,0,0,0
dense_v32000,dense,32000,1,0,32768,35937,180,22.0043,41.3886,21.3734,0.0004,2.4036,0.7010,0.0006,25.3702,5.0684,65536,65536,65536,2097152,0,2040346,1130884,65617,2097152,128x128x128,0,0,0
tiled_v32000,tiled,32000,1,0,32768,35937,180,19.5986,32.9076,17.3872,0.0005,4.3768,1.4267,0.0007,25.8335,5.2468,65536,65536,65536,7439610,227,2003932,1132181,65572,0,tiled,0,0,0
tiled_s1_v8000,tiled,8000,1,0,8000,9261,180,9.5837,27.7912,14.1033,0.0004,2.6400,0.8742,0.0006,7.7798,1.3643,26941,22278,27358,7405568,226,521580,302605,27358,0,tiled,0,0,0
tiled_s8_v8000,tiled,8000,8,0,8000,10648,180,9.9154,34.1165,14.4772,0.0005,2.8451,0.8775,0.0006,8.3174,1.1638,28231,25827,28377,8318702,253,408654,253630,28377,0,tiled,0,0,0
