label,path,target_voxels,pockets,driftcheck,planned_voxels,placed_voxels,samples,frame_p50_ms,frame_p99_ms,frame_mean_ms,submit_p50_ms,submit_p99_ms,submit_mean_ms,pump_p50_ms,pump_p99_ms,pump_mean_ms,live_slots_mean,live_slots_min,live_slots_max,dispatch_cells_mean,active_tiles_mean,voxel_writes,ops_total,slots_ever,dense_region_cells,dense_region_dims,readback_errors,stale_ops,nonresident_ops,markdirty_calls,markdirty_coalesced,upload_bytes_mean,upload_chunks_mean,brick_runs_mean,brick_slots_mean
dense_v500,dense,500,1,0,512,512,180,8.4070,32.9703,13.8581,0.0005,0.1339,0.0383,0.0006,0.4962,0.0870,1536,1536,1536,524288,0,27174,17597,1536,524288,64x128x64,0,0,0,27377,27174,340187,1,9,434
tiled_v500,tiled,500,1,0,512,512,180,7.7069,32.5667,13.3650,0.0005,2.2068,0.6988,0.0007,0.5742,0.0920,1535,1535,1536,7329655,223,27588,17769,1536,0,tiled,0,0,0,27790,27588,342823,1,9,435
dense_v8000,dense,8000,1,0,8000,8000,180,9.0965,43.2893,18.9167,0.0005,0.9032,0.2113,0.0007,6.7699,1.1657,23418,19529,23743,2097152,0,450464,262627,23743,2097152,128x128x128,0,0,0,450708,450465,410703,1,12,557
tiled_v8000,tiled,8000,1,0,8000,8000,180,9.3083,33.4845,15.5816,0.0005,2.9140,0.8577,0.0007,6.8421,1.2020,23398,19551,23731,7405568,226,455408,265093,23731,0,tiled,0,0,0,455652,455409,410749,1,13,557
dense_v32000,dense,32000,1,0,32768,32768,180,20.9013,47.6160,21.6305,0.0005,2.2140,0.6502,0.0007,22.6279,4.6192,65435,62268,65536,2097152,0,1844098,1025803,65540,2097152,128x128x128,0,0,0,1844342,1844099,434386,1,18,603
tiled_v32000,tiled,32000,1,0,32768,32768,180,21.8810,36.3034,19.1450,0.0004,4.8189,1.5143,0.0006,26.2696,5.2724,65524,63436,65536,7436879,226,1830912,1037571,65552,0,tiled,0,0,0,1831156,1830914,433308,1,17,601
dense_v500_REPEAT_driftcheck,dense,500,1,1,512,512,180,7.7958,38.8297,15.2267,0.0004,0.1583,0.0402,0.0007,0.5690,0.0937,1535,1535,1536,524288,0,26940,17456,1536,524288,64x128x64,0,0,0,27140,26940,340266,1,9,431
tiled_v500_REPEAT_driftcheck,tiled,500,1,1,512,512,180,8.4092,34.1749,14.3883,0.0005,2.4214,0.6877,0.0006,0.5754,0.0922,1535,1535,1536,7329655,223,27074,17540,1536,0,tiled,0,0,0,27261,27074,324750,1,9,402
dense_v8000_REPEAT_driftcheck,dense,8000,1,1,8000,8000,180,9.4918,48.6984,20.0789,0.0005,0.9578,0.2183,0.0006,6.8144,1.1786,23428,19644,23756,2097152,0,454004,264459,23756,2097152,128x128x128,0,0,0,454248,454005,410760,1,15,557
tiled_v8000_REPEAT_driftcheck,tiled,8000,1,1,8000,8000,180,9.1587,33.8891,15.5766,0.0004,2.6809,0.8501,0.0006,6.7954,1.1901,23426,19579,23753,7405568,226,453694,264140,23753,0,tiled,0,0,0,453938,453695,410794,1,13,557
dense_v32000_REPEAT_driftcheck,dense,32000,1,1,32768,32768,180,20.6076,40.8046,21.0372,0.0004,2.2295,0.6516,0.0007,22.3018,4.5485,65437,62314,65536,2097152,0,1846682,1027341,65543,2097152,128x128x128,0,0,0,1846926,1846683,434574,1,16,604
tiled_v32000_REPEAT_driftcheck,tiled,32000,1,1,32768,32768,180,20.1938,32.6055,17.6407,0.0005,4.4380,1.3705,0.0007,22.8998,4.6674,65511,63338,65536,7434877,226,1824050,1033517,65548,0,tiled,0,0,0,1824294,1824051,434429,1,16,603
