label,path,target_voxels,pockets,driftcheck,planned_voxels,placed_voxels,samples,frame_p50_ms,frame_p99_ms,frame_mean_ms,submit_p50_ms,submit_p99_ms,submit_mean_ms,pump_p50_ms,pump_p99_ms,pump_mean_ms,live_slots_mean,live_slots_min,live_slots_max,dispatch_cells_mean,active_tiles_mean,voxel_writes,ops_total,slots_ever,dense_region_cells,dense_region_dims,readback_errors,stale_ops,nonresident_ops,markdirty_calls,markdirty_coalesced,upload_bytes_mean,upload_chunks_mean,brick_runs_mean,brick_slots_mean,op_budget,budget_limited_frames,batches_carried,max_pending
tiled_v8000,tiled,8000,1,0,8000,8000,180,8.8999,23.8818,9.7222,0.0003,2.4830,0.3351,0.8600,0.9953,0.7521,22000,17040,23706,7405568,226,268990,153939,23706,0,tiled,0,0,0,269330,268993,665526,1,20,774,1024,137,25,7874
tiled_v8000_REPEAT_driftcheck,tiled,8000,1,1,8000,8000,180,8.8703,26.0585,9.7475,0.0002,2.4426,0.3296,0.8536,1.0024,0.7479,21974,16999,23705,7405568,226,267786,153288,23705,0,tiled,0,0,0,268140,267789,678747,1,22,804,1024,136,25,7887
tiled_v32000,tiled,32000,1,0,32768,32768,180,7.6050,12.7869,7.2822,0.0002,3.7027,0.2561,0.8419,0.9685,0.8797,61911,52702,65536,7405568,226,320356,199831,65550,0,tiled,0,0,0,320722,320360,762931,2,27,905,1024,176,14,21041
tiled_v32000_REPEAT_driftcheck,tiled,32000,1,1,32768,32768,180,7.6076,14.7059,7.1989,0.0002,3.7139,0.2575,0.8507,1.0072,0.8816,61956,52798,65536,7405568,226,319140,200341,65557,0,tiled,0,0,0,319498,319142,748108,1,24,878,1024,176,14,21117
tiled_v8000,tiled,8000,1,0,8000,8000,180,9.7009,30.6816,12.0690,0.0002,2.4202,0.7188,0.0007,3.5488,1.1194,23242,18950,23795,7405568,226,440786,252157,23795,0,tiled,0,0,0,441065,440787,480745,1,14,636,4096,29,29,7929
tiled_v8000_REPEAT_driftcheck,tiled,8000,1,1,8000,8000,180,9.6291,31.7279,12.1790,0.0003,2.4452,0.7196,0.0008,3.6342,1.1070,23211,18693,23765,7405568,226,436422,249756,23765,0,tiled,0,0,0,436705,436423,485654,1,16,644,4096,29,29,7914
tiled_v32000,tiled,32000,1,0,32768,32768,180,10.2232,17.3710,9.4710,0.0002,3.9595,0.5780,3.2745,3.7944,2.6199,64976,60206,65536,7405568,226,1022646,576653,65541,0,tiled,0,0,0,1023044,1022650,758670,2,35,973,4096,125,29,27093
tiled_v32000_REPEAT_driftcheck,tiled,32000,1,1,32768,32768,180,10.2198,16.8900,9.4720,0.0003,4.0463,0.5779,3.2881,3.7862,2.6332,64976,60123,65536,7405568,226,1027648,574715,65542,0,tiled,0,0,0,1028049,1027652,763684,2,29,982,4096,125,29,27030
tiled_v8000,tiled,8000,1,0,8000,8000,180,9.7046,31.9835,13.2862,0.0003,2.4536,0.8201,0.0007,6.4227,1.1278,23381,19494,23705,7405568,226,453426,264038,23705,0,tiled,0,0,0,453670,453428,409395,1,13,555,16384,0,0,7872
tiled_v8000_REPEAT_driftcheck,tiled,8000,1,1,8000,8000,180,9.6461,31.7016,13.2534,0.0003,2.4541,0.8104,0.0007,6.4595,1.1278,23369,19523,23703,7405568,226,454106,264301,23703,0,tiled,0,0,0,454350,454108,409423,1,14,555,16384,0,0,7883
tiled_v32000,tiled,32000,1,0,32768,32768,180,15.4337,30.4348,13.4093,0.0002,3.9471,1.1406,0.0007,13.2637,4.3357,65409,62583,65536,7421587,226,1742754,975879,65553,0,tiled,0,0,0,1743056,1742755,553582,1,20,757,16384,31,31,27022
tiled_v32000_REPEAT_driftcheck,tiled,32000,1,1,32768,32768,180,15.3083,30.8785,13.3182,0.0002,3.9146,1.1305,0.0007,13.2117,4.2945,65405,62452,65536,7420495,226,1743484,976035,65546,0,tiled,0,0,0,1743782,1743485,548596,1,24,748,16384,31,31,27156
