label,path,target_voxels,pockets,driftcheck,planned_voxels,placed_voxels,samples,frame_p50_ms,frame_p99_ms,frame_mean_ms,submit_p50_ms,submit_p99_ms,submit_mean_ms,pump_p50_ms,pump_p99_ms,pump_mean_ms,live_slots_mean,live_slots_min,live_slots_max,dispatch_cells_mean,active_tiles_mean,voxel_writes,ops_total,slots_ever,dense_region_cells,dense_region_dims,readback_errors,stale_ops,nonresident_ops,markdirty_calls,markdirty_coalesced,upload_bytes_mean,upload_chunks_mean,brick_runs_mean,brick_slots_mean,op_budget,budget_limited_frames,batches_carried,max_pending
dense_v8000,dense,8000,1,0,8000,8000,180,9.7929,42.3938,17.4488,0.0004,0.9072,0.2014,0.0009,3.7712,1.1474,23216,18820,23787,2097152,0,436842,249822,23787,2097152,128x128x128,0,0,0,437100,436844,452673,1,11,585,4096,29,29,7920
tiled_v8000,tiled,8000,1,0,8000,8000,180,10.4940,27.4922,13.1965,0.0003,2.8991,0.7923,0.0008,3.9047,1.2196,23258,18955,23788,7405568,226,435592,249575,23788,0,tiled,0,0,0,435873,435594,482025,1,15,638,4096,29,29,7915
dense_v32000,dense,32000,1,0,32768,32768,180,11.0032,42.3178,13.1956,0.0003,2.5471,0.3495,3.4468,4.3842,2.8633,64956,60121,65536,2097152,0,1024068,577907,65550,2097152,128x128x128,0,0,0,1024390,1024068,664945,1,35,799,4096,125,29,27366
tiled_v32000,tiled,32000,1,0,32768,32768,180,11.9028,23.5182,12.3672,0.0003,4.7516,0.7115,3.8544,4.7855,3.2358,65184,62634,65536,7405568,226,1026112,600653,65562,0,tiled,0,0,0,1026507,1026115,765297,2,29,979,4096,129,30,27090
dense_v8000_REPEAT_driftcheck,dense,8000,1,1,8000,8000,180,10.0890,44.0089,17.0694,0.0005,0.9642,0.2075,0.0009,3.7673,1.1501,23182,18769,23729,2097152,0,438966,251173,23729,2097152,128x128x128,0,0,0,439224,438968,452713,1,12,585,4096,29,29,7891
tiled_v8000_REPEAT_driftcheck,tiled,8000,1,1,8000,8000,180,10.3075,26.0017,13.0616,0.0004,2.8225,0.7815,0.0009,3.8026,1.2033,23207,18711,23768,7405568,226,433676,248473,23768,0,tiled,0,0,0,433955,433678,479431,1,11,633,4096,29,29,7913
dense_v32000_REPEAT_driftcheck,dense,32000,1,1,32768,32768,180,11.2072,43.7090,13.2588,0.0003,2.7010,0.3581,3.5213,4.2290,2.8987,64977,60046,65536,2097152,0,1028718,580179,65539,2097152,128x128x128,0,0,0,1029044,1028718,670316,1,25,809,4096,125,29,27520
tiled_v32000_REPEAT_driftcheck,tiled,32000,1,1,32768,32768,180,11.6951,21.5957,12.0766,0.0003,4.5444,0.6862,3.7423,4.4842,3.1652,65166,62389,65536,7405568,226,1034684,600439,65542,0,tiled,0,0,0,1035079,1034688,763417,2,35,979,4096,129,30,27219
tiled_v8000,tiled,8000,1,0,8000,8000,180,9.3089,27.0938,13.7989,0.0003,2.5417,0.8455,0.0006,6.7580,1.1827,23409,19666,23734,7405568,226,448598,261811,23734,0,tiled,0,0,0,448842,448599,410700,1,13,557,2147483647,0,0,7885
tiled_v32000,tiled,32000,1,0,32768,32768,180,19.4955,32.3064,16.7225,0.0003,4.2407,1.3870,0.0007,26.0699,4.9960,65536,65536,65536,7435059,226,1796598,1038751,65542,0,tiled,0,0,0,1796842,1796599,434787,1,16,604,2147483647,0,0,27112
